"Columna","ConValor","PctUso","Distintos","Muestra"
"FechaAlta","503","100","320","[omitido: datos de terceros]"
"RiesgoMaxConfPedidos","503","100","1","[omitido: datos de terceros]"
"Nombre","503","100","500","[omitido: datos de terceros]"
"Tarifa","503","100","1","[omitido: datos de terceros]"
"Codigo","503","100","500","[omitido: datos de terceros]"
"Usuario","499","99,2","1","[omitido: datos de terceros]"
"RecEnerg_ACT_DESC","498","99","1","[omitido: datos de terceros]"
"NotCliFormatoConfVPed","498","99","1","[omitido: datos de terceros]"
"DiasVtoMaxAjusta","498","99","1","[omitido: datos de terceros]"
"Direccion","497","98,8","494","[omitido: datos de terceros]"
"Pais","497","98,8","2","[omitido: datos de terceros]"
"Provincia","496","98,6","12","[omitido: datos de terceros]"
"Poblacion","495","98,4","49","[omitido: datos de terceros]"
"CP","495","98,4","94","[omitido: datos de terceros]"
"NombreComercial","491","97,6","491","[omitido: datos de terceros]"
"NIF","490","97,4","490","[omitido: datos de terceros]"
"compFtipoPrecIncrNT","280","55,7","1","[omitido: datos de terceros]"
"Att","23","4,6","20","[omitido: datos de terceros]"
"TelefonoMovil","22","4,4","22","[omitido: datos de terceros]"
"eMail","15","3","15","[omitido: datos de terceros]"
"Telefono","11","2,2","11","[omitido: datos de terceros]"
"TipoIVA","6","1,2","3","[omitido: datos de terceros]"
"PersonaFisicaJuridica","5","1","1","[omitido: datos de terceros]"
"FacturaEdestino","4","0,8","1","[omitido: datos de terceros]"
"FechaActDto","3","0,6","3","[omitido: datos de terceros]"
"CajaCobros","3","0,6","1","[omitido: datos de terceros]"
"REMetMinConf","3","0,6","1","[omitido: datos de terceros]"
"DescuentoFac","2","0,4","1","[omitido: datos de terceros]"
"Descuento","2","0,4","1","[omitido: datos de terceros]"
"CuentaContable","2","0,4","1","[omitido: datos de terceros]"
"FormaPagoDiasRetroceso","1","0,2","1","[omitido: datos de terceros]"
"TelefonoMovil2","1","0,2","1","[omitido: datos de terceros]"
"siiTipoIdFiscal","1","0,2","1","[omitido: datos de terceros]"
"Idioma","1","0,2","1","[omitido: datos de terceros]"
"ClasificacionComercial","1","0,2","1","[omitido: datos de terceros]"
"BIC","0","0","0","[omitido: datos de terceros]"
"CPF","0","0","0","[omitido: datos de terceros]"
"Chat","0","0","0","[omitido: datos de terceros]"
"AnulaIVAenArticulosSN","0","0","0","[omitido: datos de terceros]"
"BloqueoMensaje","0","0","0","[omitido: datos de terceros]"
"BloqueoAbsolutoSN","0","0","0","[omitido: datos de terceros]"
"ProdWebPasswordHash","0","0","0","[omitido: datos de terceros]"
"ProdWebLoginEMail","0","0","0","[omitido: datos de terceros]"
"ProdWebAccesoSN","0","0","0","[omitido: datos de terceros]"
"DescuentosEstrCMNacaSN","0","0","0","[omitido: datos de terceros]"
"DescuentosEstrCMNsn","0","0","0","[omitido: datos de terceros]"
"NoContactarFechaRegistro","0","0","0","[omitido: datos de terceros]"
"ObservacionesProduccion","0","0","0","[omitido: datos de terceros]"
"nCopiasAlb","0","0","0","[omitido: datos de terceros]"
"NoCLAPorFamiliaSN","0","0","0","[omitido: datos de terceros]"
"CuentaContableVEfDescontados","0","0","0","[omitido: datos de terceros]"
"RiesgoAseguradoFechaDesde","0","0","0","[omitido: datos de terceros]"
"DireccionF","0","0","0","[omitido: datos de terceros]"
"FacturaEenviarSN","0","0","0","[omitido: datos de terceros]"
"RazonSocial2","0","0","0","[omitido: datos de terceros]"
"BloqueoAbsolutoTipoDoc","0","0","0","[omitido: datos de terceros]"
"CosteCalculadoEspecialSN","0","0","0","[omitido: datos de terceros]"
"FacturaEfechaAlta","0","0","0","[omitido: datos de terceros]"
"FacturaEeMailDestino","0","0","0","[omitido: datos de terceros]"
"FacturaElectronicaSN","0","0","0","[omitido: datos de terceros]"
"DivisaVPED","0","0","0","[omitido: datos de terceros]"
"DivisaVPRES","0","0","0","[omitido: datos de terceros]"
"DivisaImprimir","0","0","0","[omitido: datos de terceros]"
"SeriesValidasSN","0","0","0","[omitido: datos de terceros]"
"DivisaVFAC","0","0","0","[omitido: datos de terceros]"
"DivisaVALB","0","0","0","[omitido: datos de terceros]"
"CodigoFiscalFObservaciones","0","0","0","[omitido: datos de terceros]"
"CodigoFiscalF3","0","0","0","[omitido: datos de terceros]"
"CodigoFiscalF2","0","0","0","[omitido: datos de terceros]"
"CondicionResidencia","0","0","0","[omitido: datos de terceros]"
"PoblacionF","0","0","0","[omitido: datos de terceros]"
"TipoDocumento","0","0","0","[omitido: datos de terceros]"
"RetencionIngresosBrutosPorc","0","0","0","[omitido: datos de terceros]"
"NoContactarSN","0","0","0","[omitido: datos de terceros]"
"ClienteOrigenCopia","0","0","0","[omitido: datos de terceros]"
"RiesgoCoberturaPorc","0","0","0","[omitido: datos de terceros]"
"TipoIVAserieSN","0","0","0","[omitido: datos de terceros]"
"DescuentosCMNacaSN","0","0","0","[omitido: datos de terceros]"
"DescuentosCMNsn","0","0","0","[omitido: datos de terceros]"
"DiasPagoSN","0","0","0","[omitido: datos de terceros]"
"ClasificacionRiesgoAsegurado","0","0","0","[omitido: datos de terceros]"
"RiesgoAsegurado","0","0","0","[omitido: datos de terceros]"
"RiesgoFechaDesde","0","0","0","[omitido: datos de terceros]"
"RiesgoMaximoSerieSN","0","0","0","[omitido: datos de terceros]"
"CompFsubfamTipoMotorSN","0","0","0","[omitido: datos de terceros]"
"Descuento2","0","0","0","[omitido: datos de terceros]"
"SerieAutoTipoDoc","0","0","0","[omitido: datos de terceros]"
"SerieAutoSN","0","0","0","[omitido: datos de terceros]"
"Poblacion2","0","0","0","[omitido: datos de terceros]"
"RazonSocialPostal","0","0","0","[omitido: datos de terceros]"
"CatGrupo","0","0","0","[omitido: datos de terceros]"
"TratamientoDeDatos","0","0","0","[omitido: datos de terceros]"
"Provincia2","0","0","0","[omitido: datos de terceros]"
"PublicidadDeTerceros","0","0","0","[omitido: datos de terceros]"
"TratamientoDeDatosFechaAct","0","0","0","[omitido: datos de terceros]"
"PublicidadDeTercerosFechaAct","0","0","0","[omitido: datos de terceros]"
"EnvioPublicidadFechaAct","0","0","0","[omitido: datos de terceros]"
"ClasificacionComercialManualSN","0","0","0","[omitido: datos de terceros]"
"TipoIDfiscalF","0","0","0","[omitido: datos de terceros]"
"TipoIDfiscal","0","0","0","[omitido: datos de terceros]"
"Direccion2","0","0","0","[omitido: datos de terceros]"
"DescuentoGeneralCondicionalSN","0","0","0","[omitido: datos de terceros]"
"ComisionesLstRepresentantes","0","0","0","[omitido: datos de terceros]"
"RiesgoBloqueoLimiteExceso","0","0","0","[omitido: datos de terceros]"
"CobCtaCobros","0","0","0","[omitido: datos de terceros]"
"CP2","0","0","0","[omitido: datos de terceros]"
"PreciosEspAcaTonSN","0","0","0","[omitido: datos de terceros]"
"AfinidadComercial","0","0","0","[omitido: datos de terceros]"
"TarifaDinamicaDescuentosSN","0","0","0","[omitido: datos de terceros]"
"NoActualizaPreciosAlTransformarSN","0","0","0","[omitido: datos de terceros]"
"TipoRetencion","0","0","0","[omitido: datos de terceros]"
"BloqueoEfectosPendientesSN","0","0","0","[omitido: datos de terceros]"
"RazonSocial","0","0","0","[omitido: datos de terceros]"
"ReferenciaClientePorDimensionSN","0","0","0","[omitido: datos de terceros]"
"ReferenciaClienteSN","0","0","0","[omitido: datos de terceros]"
"TarifaDinamicaSN","0","0","0","[omitido: datos de terceros]"
"RemesaCSBcuadernoValido","0","0","0","[omitido: datos de terceros]"
"AutorizacionSEPAfechaFirmada","0","0","0","[omitido: datos de terceros]"
"AutorizacionSEPAfirmadaSN","0","0","0","[omitido: datos de terceros]"
"VPedFormato","0","0","0","[omitido: datos de terceros]"
"AgenciaTransporte","0","0","0","[omitido: datos de terceros]"
"PortesTipo","0","0","0","[omitido: datos de terceros]"
"CanalVenta","0","0","0","[omitido: datos de terceros]"
"TpteIncoterm","0","0","0","[omitido: datos de terceros]"
"TelefonoEnv","0","0","0","[omitido: datos de terceros]"
"CosteCalculadoEspecialMargenPVPSN","0","0","0","[omitido: datos de terceros]"
"EnvioPublicidad","0","0","0","[omitido: datos de terceros]"
"ProdWebObservaciones","0","0","0","[omitido: datos de terceros]"
"AutorizacionSEPAreferencia","0","0","0","[omitido: datos de terceros]"
"TarDinNoIncrementoAcaTonSN","0","0","0","[omitido: datos de terceros]"
"IntercompanyClienteSN","0","0","0","[omitido: datos de terceros]"
"DatosFacSN","0","0","0","[omitido: datos de terceros]"
"AlbaranEeMailDestino","0","0","0","[omitido: datos de terceros]"
"AlbaranElectronicoSN","0","0","0","[omitido: datos de terceros]"
"TarDinNoIncrementoGrupoSN","0","0","0","[omitido: datos de terceros]"
"NoCLASsn","0","0","0","[omitido: datos de terceros]"
"VAlbFacAutoPreguntaSN","0","0","0","[omitido: datos de terceros]"
"VAlbFacAutoSN","0","0","0","[omitido: datos de terceros]"
"RiesgoAseguradoSN","0","0","0","[omitido: datos de terceros]"
"VAlbFormato_VSV","0","0","0","[omitido: datos de terceros]"
"VAlbVFacTipoAgrup","0","0","0","[omitido: datos de terceros]"
"VPedVAlbTipoAgrup","0","0","0","[omitido: datos de terceros]"
"GrupoCom","0","0","0","[omitido: datos de terceros]"
"RecEnergMinEsp","0","0","0","[omitido: datos de terceros]"
"RecEnergMinEspSN","0","0","0","[omitido: datos de terceros]"
"MultMetMinPorArtSN","0","0","0","[omitido: datos de terceros]"
"MultMetMinPorFamSN","0","0","0","[omitido: datos de terceros]"
"DescuentoCargosCF","0","0","0","[omitido: datos de terceros]"
"DescuentoPP","0","0","0","[omitido: datos de terceros]"
"PreciosEspSN","0","0","0","[omitido: datos de terceros]"
"FPObservaciones","0","0","0","[omitido: datos de terceros]"
"RepDiasManualesSN","0","0","0","[omitido: datos de terceros]"
"HastaSinPagos2","0","0","0","[omitido: datos de terceros]"
"DesdeSinPagos2","0","0","0","[omitido: datos de terceros]"
"GrupoAsigTar","0","0","0","[omitido: datos de terceros]"
"RepMiercolesSN","0","0","0","[omitido: datos de terceros]"
"RepMartesSN","0","0","0","[omitido: datos de terceros]"
"RepLunesSN","0","0","0","[omitido: datos de terceros]"
"RepSabadoSN","0","0","0","[omitido: datos de terceros]"
"RepViernesSN","0","0","0","[omitido: datos de terceros]"
"RepJuevesSN","0","0","0","[omitido: datos de terceros]"
"HastaSinPagos","0","0","0","[omitido: datos de terceros]"
"DesdeSinPagos","0","0","0","[omitido: datos de terceros]"
"BloqueoRiesgoSN","0","0","0","[omitido: datos de terceros]"
"Sucursal","0","0","0","[omitido: datos de terceros]"
"Entidad","0","0","0","[omitido: datos de terceros]"
"DomiciliacionSN","0","0","0","[omitido: datos de terceros]"
"Zona","0","0","0","[omitido: datos de terceros]"
"Observaciones","0","0","0","[omitido: datos de terceros]"
"GrupoDto","0","0","0","[omitido: datos de terceros]"
"RefCredito","0","0","0","[omitido: datos de terceros]"
"RiesgoMaximo","0","0","0","[omitido: datos de terceros]"
"OrdenReparto","0","0","0","[omitido: datos de terceros]"
"DC","0","0","0","[omitido: datos de terceros]"
"compFIncrDto","0","0","0","[omitido: datos de terceros]"
"DescuentosFamSN","0","0","0","[omitido: datos de terceros]"
"CompFincrGuiaCM","0","0","0","[omitido: datos de terceros]"
"NoMultMetMinPorFamiliasSN","0","0","0","[omitido: datos de terceros]"
"NoMetMinSN","0","0","0","[omitido: datos de terceros]"
"NoMultiplosSN","0","0","0","[omitido: datos de terceros]"
"GrupoPEsp","0","0","0","[omitido: datos de terceros]"
"NombreEntidad","0","0","0","[omitido: datos de terceros]"
"Cuenta","0","0","0","[omitido: datos de terceros]"
"CliContadoSN","0","0","0","[omitido: datos de terceros]"
"DescuentosFamArtSN","0","0","0","[omitido: datos de terceros]"
"ContabilizadaSN","0","0","0","[omitido: datos de terceros]"
"Fax","0","0","0","[omitido: datos de terceros]"
"TipoCliente","0","0","0","[omitido: datos de terceros]"
"Representante","0","0","0","[omitido: datos de terceros]"
"Telefono2","0","0","0","[omitido: datos de terceros]"
"CIFF","0","0","0","[omitido: datos de terceros]"
"NotificaNoCargaAutoVDocSN","0","0","0","[omitido: datos de terceros]"
"RespCobro","0","0","0","[omitido: datos de terceros]"
"PaisPostal","0","0","0","[omitido: datos de terceros]"
"PaisF","0","0","0","[omitido: datos de terceros]"
"DApvpDinamicoSN","0","0","0","[omitido: datos de terceros]"
"CodigoContabilidad","0","0","0","[omitido: datos de terceros]"
"RecEnergCalcularEn","0","0","0","[omitido: datos de terceros]"
"CodigoFiscal2","0","0","0","[omitido: datos de terceros]"
"RepresentanteLegal","0","0","0","[omitido: datos de terceros]"
"Web","0","0","0","[omitido: datos de terceros]"
"ProvinciaF","0","0","0","[omitido: datos de terceros]"
"RiesgoMaxRemNoVencidoDiasAd","0","0","0","[omitido: datos de terceros]"
"RiesgoMaxRemNoVencido","0","0","0","[omitido: datos de terceros]"
"RepresentanteLnif","0","0","0","[omitido: datos de terceros]"
"CuentaBancariaIntl","0","0","0","[omitido: datos de terceros]"
"CodigoFiscalObservaciones","0","0","0","[omitido: datos de terceros]"
"CodigoFiscal3","0","0","0","[omitido: datos de terceros]"
"RiesgoMaximoVencido","0","0","0","[omitido: datos de terceros]"
"NotificaMail","0","0","0","[omitido: datos de terceros]"
"nCopiasFac","0","0","0","[omitido: datos de terceros]"
"NotificaSN","0","0","0","[omitido: datos de terceros]"
"factOrigenSN","0","0","0","[omitido: datos de terceros]"
"autorizaVDocTipoDoc","0","0","0","[omitido: datos de terceros]"
"RetTipo","0","0","0","[omitido: datos de terceros]"
"FechaHoraAct","0","0","0","[omitido: datos de terceros]"
"NotificaSMS","0","0","0","[omitido: datos de terceros]"
"CPPostal","0","0","0","[omitido: datos de terceros]"
"DirPostal","0","0","0","[omitido: datos de terceros]"
"DatosDirPostalSN","0","0","0","[omitido: datos de terceros]"
"autorizaVDocSN","0","0","0","[omitido: datos de terceros]"
"ProvinciaPostal","0","0","0","[omitido: datos de terceros]"
"PoblacionPostal","0","0","0","[omitido: datos de terceros]"
"ClientePotSN","0","0","0","[omitido: datos de terceros]"
"AsegNumPoliza","0","0","0","[omitido: datos de terceros]"
"AsegModalidad","0","0","0","[omitido: datos de terceros]"
"AsegFacturacion","0","0","0","[omitido: datos de terceros]"
"Pais2","0","0","0","[omitido: datos de terceros]"
"recargoSN","0","0","0","[omitido: datos de terceros]"
"AsegCoberturaMax","0","0","0","[omitido: datos de terceros]"
"AsegGestora","0","0","0","[omitido: datos de terceros]"
"AsegCliSN","0","0","0","[omitido: datos de terceros]"
"CodClientePot","0","0","0","[omitido: datos de terceros]"
"AsegDelegacion","0","0","0","[omitido: datos de terceros]"
"AsegCompañia","0","0","0","[omitido: datos de terceros]"
"AsegCorreduria","0","0","0","[omitido: datos de terceros]"
